actual,proposed
-0.2319849133491516,-0.2270732820034027
-0.27835947275161743,-0.25271639227867126
-0.28113776445388794,-0.2669270932674408
-0.28391605615615845,-0.2754215598106384
-0.2871573567390442,-0.2812894582748413
-0.29039862751960754,-0.2858440577983856
-0.3055165112018585,-0.29568028450012207
-0.3088887631893158,-0.30228450894355774
-0.3112974762916565,-0.3067910075187683
-0.3141879141330719,-0.3104894459247589
-0.3165965974330902,-0.31354302167892456
-0.2627622187137604,-0.28815263509750366
-0.24125847220420837,-0.2647055387496948
-0.2419806867837906,-0.2533431053161621
-0.2419806867837906,-0.24766190350055695
-0.2423417717218399,-0.24500183761119843
-0.2427028864622116,-0.24385236203670502
-0.24635188281536102,-0.24510212242603302
-0.2467184215784073,-0.24591027200222015
-0.24745146930217743,-0.2466808706521988
-0.2478179931640625,-0.24724943935871124
-0.24818451702594757,-0.2477169781923294
-0.2950763702392578,-0.271396666765213
-0.2946406304836273,-0.28301864862442017
-0.29376915097236633,-0.28839388489723206
-0.29333341121673584,-0.29086366295814514
-0.29333341121673584,-0.2920985221862793
-0.33092692494392395,-0.31151270866394043
-0.33092692494392395,-0.3212198317050934
-0.33092692494392395,-0.32607337832450867
-0.3314177393913269,-0.3287455439567566
-0.3314177393913269,-0.33008164167404175
-0.33190858364105225,-0.330995112657547
-0.37093740701675415,-0.3509662449359894
-0.3720311224460602,-0.3614986836910248
-0.373124897480011,-0.3673118054866791
-0.373124897480011,-0.37021833658218384
-0.3736717700958252,-0.3719450533390045
-0.38925623893737793,-0.38060063123703003
-0.3903938829898834,-0.3854972720146179
-0.39210036396980286,-0.3887988030910492
-0.34205591678619385,-0.3654273450374603
-0.34304556250572205,-0.3542364537715912
-0.37187525629997253,-0.36305585503578186
-0.37187525629997253,-0.3674655556678772
-0.3724116384983063,-0.36993861198425293
-0.3724116384983063,-0.3711751103401184
-0.3729480504989624,-0.3720615804195404
-0.3729480504989624,-0.3725048005580902
-0.3574502468109131,-0.36497750878334045
-0.3579636216163635,-0.3614705801010132
-0.3579636216163635,-0.35971710085868835
-0.3589903712272644,-0.3593537509441376
-0.3600171208381653,-0.35968542098999023
-0.3705211281776428,-0.36510327458381653
-0.3715732991695404,-0.36833828687667847
-0.3726254999637604,-0.3704819083213806
-0.37420374155044556,-0.3723428249359131
-0.37578198313713074,-0.3740623891353607
-0.43392235040664673,-0.4039923846721649
-0.4363417327404022,-0.42016705870628357
-0.43876105546951294,-0.42946404218673706
-0.44118040800094604,-0.43532222509384155
-0.4429948329925537,-0.43915852904319763
-0.4715675711631775,-0.45536306500434875
-0.47349098324775696,-0.46442702412605286
-0.42240166664123535,-0.4434143304824829
-0.4246774911880493,-0.4340459108352661
-0.4263843595981598,-0.43021515011787415
-0.4705367386341095,-0.4503759443759918
-0.473034530878067,-0.4617052376270294
-0.4761567711830139,-0.46893101930618286
-0.4786545932292938,-0.47379279136657715
-0.48115232586860657,-0.47747257351875305
-0.4836500585079193,-0.4805613160133362
-0.5393638610839844,-0.5099625587463379
-0.5435143709182739,-0.5267384648323059
-0.5462813377380371,-0.5365099310874939
-0.5497400164604187,-0.5431249737739563
-0.5538904070854187,-0.5485076904296875
-0.5959321856498718,-0.572219967842102
-0.5996295809745789,-0.5859247446060181
-0.6025874018669128,-0.5942561030387878
-0.6062847375869751,-0.6002703905105591
-0.6092424988746643,-0.6047564148902893
-0.6583497524261475,-0.6315531134605408
-0.6615298390388489,-0.6465414762496948
-0.6655048131942749,-0.6560231447219849
-0.6694796681404114,-0.6627513766288757
-0.6726595163345337,-0.6677054762840271
-0.7731040120124817,-0.7204047441482544
-0.7712302803993225,-0.7458175420761108
-0.7748317718505859,-0.7603246569633484
-0.7793336510658264,-0.7698291540145874
-0.7829349040985107,-0.7763820290565491
-0.8587606549263,-0.8175713419914246
-0.8636736869812012,-0.8406225442886353
-0.8676038980484009,-0.8541132211685181
-0.8705514073371887,-0.862332284450531
